,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,min_duration,age_bin,pdays_contacted
5879,30,blue-collar,married,secondary,no,187,yes,no,unknown,26,may,6,0,0,unknown,0,4.533333333333333,"(17.925, 33.0]",0
7191,45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,1,0,0,unknown,1,12.433333333333334,"(33.0, 48.0]",0
4229,29,technician,single,secondary,no,103,no,no,unknown,19,may,1,0,0,unknown,0,5.233333333333333,"(17.925, 33.0]",0
40753,59,retired,married,tertiary,no,1425,no,no,cellular,10,aug,2,102,1,success,0,8.15,"(48.0, 63.0]",1
22262,57,technician,married,tertiary,no,0,no,no,cellular,21,aug,5,0,0,unknown,0,4.033333333333333,"(48.0, 63.0]",0
28897,33,management,single,tertiary,no,1859,yes,no,cellular,30,jan,4,0,0,unknown,0,19.483333333333334,"(17.925, 33.0]",0
29073,60,management,married,tertiary,no,553,yes,no,cellular,2,feb,1,210,3,success,0,5.716666666666667,"(48.0, 63.0]",1
25753,51,management,married,tertiary,no,94,yes,no,cellular,19,nov,3,0,0,unknown,0,4.683333333333334,"(48.0, 63.0]",0
39477,49,technician,divorced,secondary,no,972,no,no,cellular,25,may,2,0,0,unknown,0,10.216666666666667,"(48.0, 63.0]",0
13312,54,housemaid,married,primary,no,8,no,yes,telephone,8,jul,2,0,0,unknown,0,1.9333333333333333,"(48.0, 63.0]",0
16612,51,services,married,secondary,no,-238,yes,no,cellular,24,jul,1,0,0,unknown,0,1.05,"(48.0, 63.0]",0
14926,51,blue-collar,divorced,primary,no,1927,no,yes,cellular,16,jul,4,0,0,unknown,0,5.366666666666666,"(48.0, 63.0]",0
7540,60,self-employed,married,primary,no,1226,yes,no,unknown,30,may,3,0,0,unknown,0,2.5166666666666666,"(48.0, 63.0]",0
17930,29,technician,married,secondary,no,3615,yes,no,cellular,30,jul,3,0,0,unknown,0,1.55,"(17.925, 33.0]",0
36785,42,services,divorced,secondary,no,257,yes,no,cellular,12,may,2,0,0,unknown,1,15.916666666666666,"(33.0, 48.0]",0
23079,56,technician,divorced,secondary,no,0,no,no,cellular,26,aug,8,0,0,unknown,0,7.85,"(48.0, 63.0]",0
22830,30,management,married,tertiary,no,4874,yes,no,cellular,25,aug,10,0,0,unknown,0,2.2333333333333334,"(17.925, 33.0]",0
4785,36,services,married,secondary,no,393,yes,yes,unknown,21,may,1,0,0,unknown,0,2.1,"(33.0, 48.0]",0
36691,33,management,married,tertiary,no,335,no,no,cellular,12,may,2,0,0,unknown,0,8.783333333333333,"(17.925, 33.0]",0
27203,41,management,married,tertiary,no,832,yes,yes,cellular,21,nov,1,176,1,failure,0,2.7333333333333334,"(33.0, 48.0]",1
20826,38,technician,single,secondary,no,227,no,no,cellular,13,aug,4,0,0,unknown,0,1.5833333333333333,"(33.0, 48.0]",0
13825,28,services,married,secondary,no,72,no,yes,cellular,10,jul,4,0,0,unknown,0,6.966666666666667,"(17.925, 33.0]",0
2463,51,services,married,unknown,no,193,yes,no,unknown,13,may,3,0,0,unknown,0,3.3666666666666667,"(48.0, 63.0]",0
26277,49,management,divorced,tertiary,no,20727,no,no,cellular,20,nov,2,0,0,unknown,0,1.4666666666666666,"(48.0, 63.0]",0
19011,55,management,married,secondary,no,11655,no,no,cellular,5,aug,1,0,0,unknown,0,1.9,"(48.0, 63.0]",0
11259,43,housemaid,married,secondary,no,5233,no,no,unknown,18,jun,2,0,0,unknown,0,1.8,"(33.0, 48.0]",0
231,31,services,married,secondary,no,388,yes,no,unknown,5,may,2,0,0,unknown,0,12.166666666666666,"(17.925, 33.0]",0
40959,32,management,married,tertiary,no,1388,yes,no,cellular,13,aug,1,105,1,success,0,1.7,"(17.925, 33.0]",1
24759,42,blue-collar,married,secondary,no,879,yes,no,cellular,18,nov,1,0,0,unknown,0,2.3333333333333335,"(33.0, 48.0]",0
8891,25,blue-collar,married,secondary,no,-507,yes,yes,unknown,4,jun,2,0,0,unknown,0,6.733333333333333,"(17.925, 33.0]",0
23722,31,management,single,tertiary,no,0,no,no,cellular,28,aug,31,0,0,unknown,0,0.5833333333333334,"(17.925, 33.0]",0
39490,38,management,married,tertiary,no,93,yes,no,cellular,25,may,1,272,4,failure,0,1.2333333333333334,"(33.0, 48.0]",1
9565,54,housemaid,single,unknown,no,6020,no,no,unknown,6,jun,1,0,0,unknown,0,0.4,"(48.0, 63.0]",0
29282,31,management,single,tertiary,no,1017,no,no,cellular,2,feb,1,0,0,unknown,0,1.3833333333333333,"(17.925, 33.0]",0
8663,58,management,divorced,tertiary,no,50,yes,no,unknown,3,jun,4,0,0,unknown,0,1.8166666666666667,"(48.0, 63.0]",0
35164,33,admin.,single,tertiary,no,490,yes,no,cellular,7,may,1,363,2,failure,0,0.5166666666666667,"(17.925, 33.0]",1
35296,46,management,married,secondary,no,1363,yes,yes,cellular,7,may,4,0,0,unknown,0,1.0,"(33.0, 48.0]",0
20930,30,admin.,married,tertiary,no,631,no,no,cellular,13,aug,3,0,0,unknown,0,4.883333333333334,"(17.925, 33.0]",0
18874,45,blue-collar,married,primary,no,15515,no,no,cellular,4,aug,2,0,0,unknown,0,2.783333333333333,"(33.0, 48.0]",0
28445,49,management,married,tertiary,no,87,no,no,cellular,29,jan,1,0,0,unknown,0,2.75,"(48.0, 63.0]",0
27038,59,retired,married,secondary,no,2011,no,no,cellular,21,nov,2,0,0,unknown,0,3.7,"(48.0, 63.0]",0
40260,52,entrepreneur,married,secondary,no,1306,no,no,cellular,15,jun,1,0,0,unknown,1,4.8,"(48.0, 63.0]",0
30395,44,entrepreneur,married,secondary,no,320,yes,yes,cellular,5,feb,3,234,2,other,0,4.483333333333333,"(33.0, 48.0]",1
35798,34,technician,divorced,secondary,no,136,yes,no,cellular,8,may,2,0,0,unknown,0,2.2666666666666666,"(33.0, 48.0]",0
34954,25,services,single,secondary,no,-121,yes,no,cellular,6,may,2,0,0,unknown,0,5.716666666666667,"(17.925, 33.0]",0
22599,37,management,married,tertiary,no,49,no,yes,cellular,22,aug,1,0,0,unknown,0,2.2,"(33.0, 48.0]",0
13301,40,admin.,married,secondary,no,1011,yes,no,cellular,8,jul,12,0,0,unknown,0,2.4166666666666665,"(33.0, 48.0]",0
5199,36,blue-collar,married,primary,no,-402,no,no,unknown,21,may,6,0,0,unknown,0,2.8833333333333333,"(33.0, 48.0]",0
12229,25,services,single,secondary,no,3856,yes,no,unknown,20,jun,28,0,0,unknown,0,0.26666666666666666,"(17.925, 33.0]",0
9889,45,blue-collar,married,primary,no,900,yes,no,unknown,9,jun,1,0,0,unknown,0,3.55,"(33.0, 48.0]",0
24708,51,services,divorced,secondary,no,12,yes,no,cellular,17,nov,1,0,0,unknown,0,2.5,"(48.0, 63.0]",0
3843,52,technician,single,secondary,no,36,yes,no,unknown,16,may,1,0,0,unknown,0,5.583333333333333,"(48.0, 63.0]",0
41245,29,management,single,tertiary,no,265,no,no,cellular,24,aug,2,94,1,success,1,2.1666666666666665,"(17.925, 33.0]",1
10277,31,technician,single,secondary,no,1094,yes,no,unknown,12,jun,8,0,0,unknown,0,1.55,"(17.925, 33.0]",0
34379,27,management,single,tertiary,no,88,no,no,cellular,4,may,1,0,0,unknown,0,2.3833333333333333,"(17.925, 33.0]",0
26057,53,management,married,tertiary,no,2578,no,no,cellular,19,nov,4,107,2,failure,0,4.983333333333333,"(48.0, 63.0]",1
24454,42,blue-collar,married,secondary,no,179,yes,no,cellular,17,nov,1,0,0,unknown,0,1.6,"(33.0, 48.0]",0
22812,35,management,single,tertiary,no,0,no,no,cellular,25,aug,6,0,0,unknown,0,1.35,"(33.0, 48.0]",0
43288,33,technician,married,secondary,no,1,yes,no,cellular,15,mar,4,0,0,unknown,0,4.35,"(17.925, 33.0]",0
24463,32,management,single,tertiary,no,0,yes,yes,cellular,17,nov,2,0,0,unknown,0,1.7833333333333334,"(17.925, 33.0]",0
7751,36,blue-collar,married,secondary,no,740,yes,no,unknown,30,may,2,0,0,unknown,0,2.85,"(33.0, 48.0]",0
7441,47,blue-collar,married,secondary,no,0,yes,no,unknown,29,may,2,0,0,unknown,0,2.25,"(33.0, 48.0]",0
16132,42,technician,married,secondary,no,33,no,no,telephone,22,jul,5,0,0,unknown,0,2.6333333333333333,"(33.0, 48.0]",0
14658,43,entrepreneur,married,tertiary,no,1,yes,yes,cellular,15,jul,2,0,0,unknown,0,1.0166666666666666,"(33.0, 48.0]",0
26674,46,admin.,divorced,secondary,no,2087,no,no,cellular,20,nov,3,0,0,unknown,1,12.8,"(33.0, 48.0]",0
5205,27,services,single,secondary,no,259,yes,no,unknown,23,may,10,0,0,unknown,0,1.3,"(17.925, 33.0]",0
44699,33,technician,married,tertiary,no,1126,yes,no,unknown,6,sep,1,490,5,other,0,0.18333333333333332,"(17.925, 33.0]",1
13931,58,management,divorced,tertiary,no,0,no,no,telephone,10,jul,7,0,0,unknown,0,3.783333333333333,"(48.0, 63.0]",0
4831,28,entrepreneur,single,tertiary,no,135,yes,no,unknown,21,may,1,0,0,unknown,0,3.25,"(17.925, 33.0]",0
25182,34,blue-collar,single,secondary,no,20,yes,yes,cellular,18,nov,2,0,0,unknown,0,4.366666666666666,"(33.0, 48.0]",0
2616,42,blue-collar,divorced,primary,no,299,yes,no,unknown,13,may,2,0,0,unknown,0,4.216666666666667,"(33.0, 48.0]",0
28345,28,admin.,single,secondary,no,1391,yes,no,cellular,29,jan,2,247,1,failure,0,7.7,"(17.925, 33.0]",1
24684,36,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,2,131,1,failure,0,4.55,"(33.0, 48.0]",1
19891,34,management,married,tertiary,no,63,no,no,cellular,8,aug,2,0,0,unknown,0,1.5666666666666667,"(33.0, 48.0]",0
26618,35,admin.,married,secondary,no,725,yes,no,cellular,20,nov,7,133,1,failure,0,3.65,"(33.0, 48.0]",1
11105,52,blue-collar,married,secondary,no,262,no,no,unknown,18,jun,4,0,0,unknown,0,17.7,"(48.0, 63.0]",0
10639,53,blue-collar,married,primary,no,4641,no,no,unknown,16,jun,2,0,0,unknown,0,5.933333333333334,"(48.0, 63.0]",0
25754,58,blue-collar,married,primary,no,630,yes,no,cellular,19,nov,1,174,1,failure,0,0.9833333333333333,"(48.0, 63.0]",1
33392,37,services,married,secondary,no,1498,yes,no,cellular,20,apr,1,0,0,unknown,0,1.7833333333333334,"(33.0, 48.0]",0
8721,38,admin.,married,tertiary,no,342,yes,no,unknown,4,jun,1,0,0,unknown,0,18.966666666666665,"(33.0, 48.0]",0
12075,47,blue-collar,married,secondary,no,480,no,no,unknown,20,jun,6,0,0,unknown,0,0.15,"(33.0, 48.0]",0
18367,32,management,single,tertiary,no,29,yes,no,cellular,31,jul,24,0,0,unknown,0,0.8166666666666667,"(17.925, 33.0]",0
18894,36,management,divorced,tertiary,no,0,no,no,cellular,4,aug,1,0,0,unknown,1,19.416666666666668,"(33.0, 48.0]",0
7033,28,admin.,single,secondary,no,1238,yes,no,unknown,28,may,2,0,0,unknown,0,4.2,"(17.925, 33.0]",0
7431,31,management,single,tertiary,no,524,yes,yes,unknown,29,may,2,0,0,unknown,0,11.133333333333333,"(17.925, 33.0]",0
12216,45,technician,married,secondary,no,3492,yes,yes,unknown,20,jun,4,0,0,unknown,0,0.7666666666666667,"(33.0, 48.0]",0
10474,37,blue-collar,married,primary,no,1,yes,no,unknown,16,jun,2,0,0,unknown,0,1.7166666666666666,"(33.0, 48.0]",0
20552,37,unemployed,married,secondary,no,117,no,no,cellular,12,aug,4,0,0,unknown,0,2.4,"(33.0, 48.0]",0
8780,30,services,single,secondary,no,773,yes,yes,unknown,4,jun,1,0,0,unknown,0,0.48333333333333334,"(17.925, 33.0]",0
31000,32,management,single,tertiary,no,19985,no,no,cellular,9,feb,5,0,0,unknown,0,10.266666666666667,"(17.925, 33.0]",0
28559,37,blue-collar,single,secondary,no,6,no,no,cellular,29,jan,2,0,0,unknown,0,2.716666666666667,"(33.0, 48.0]",0
16338,30,blue-collar,single,secondary,no,0,yes,no,telephone,23,jul,5,0,0,unknown,0,0.6666666666666666,"(17.925, 33.0]",0
34730,37,technician,single,secondary,no,5436,yes,no,cellular,6,may,11,351,1,failure,0,0.11666666666666667,"(33.0, 48.0]",1
4832,36,services,married,secondary,no,5024,no,no,unknown,21,may,1,0,0,unknown,0,2.316666666666667,"(33.0, 48.0]",0
15944,25,entrepreneur,married,tertiary,no,38,yes,no,cellular,22,jul,5,0,0,unknown,0,4.633333333333334,"(17.925, 33.0]",0
2514,29,technician,single,secondary,no,309,yes,no,unknown,13,may,1,0,0,unknown,0,3.566666666666667,"(17.925, 33.0]",0
27868,35,unemployed,single,primary,no,-17,no,no,cellular,28,jan,1,0,0,unknown,0,1.6666666666666667,"(33.0, 48.0]",0
8902,32,blue-collar,divorced,secondary,no,880,yes,yes,unknown,4,jun,1,0,0,unknown,0,1.8666666666666667,"(17.925, 33.0]",0
10936,40,self-employed,married,tertiary,no,1603,no,no,unknown,17,jun,1,0,0,unknown,0,4.65,"(33.0, 48.0]",0
9666,47,housemaid,married,primary,no,389,no,no,unknown,6,jun,2,0,0,unknown,0,2.4166666666666665,"(33.0, 48.0]",0
10780,50,retired,married,primary,no,1098,no,no,unknown,17,jun,1,0,0,unknown,0,2.8,"(48.0, 63.0]",0
33554,43,services,divorced,secondary,no,-287,yes,no,cellular,20,apr,4,0,0,unknown,0,9.666666666666666,"(33.0, 48.0]",0
29979,33,unemployed,single,secondary,no,237,yes,no,cellular,4,feb,2,0,0,unknown,0,17.533333333333335,"(17.925, 33.0]",0
41524,82,unknown,divorced,unknown,no,0,no,no,telephone,9,sep,5,0,0,unknown,0,4.616666666666666,"(78.0, 93.0]",0
38888,24,services,single,secondary,no,258,yes,no,cellular,18,may,1,0,0,unknown,0,4.133333333333334,"(17.925, 33.0]",0
11734,45,housemaid,married,primary,no,4994,no,no,unknown,20,jun,1,0,0,unknown,0,0.8,"(33.0, 48.0]",0
7544,37,technician,single,secondary,no,864,yes,no,unknown,30,may,1,0,0,unknown,0,2.85,"(33.0, 48.0]",0
23068,35,management,married,tertiary,no,841,no,no,cellular,26,aug,6,0,0,unknown,0,5.016666666666667,"(33.0, 48.0]",0
33138,33,blue-collar,married,primary,no,217,yes,no,cellular,20,apr,1,339,3,failure,0,3.3,"(17.925, 33.0]",1
37252,38,blue-collar,single,secondary,no,1137,no,no,cellular,13,may,1,0,0,unknown,0,5.266666666666667,"(33.0, 48.0]",0
21190,57,housemaid,married,primary,no,1969,no,no,cellular,14,aug,3,0,0,unknown,0,4.766666666666667,"(48.0, 63.0]",0
9685,51,retired,divorced,tertiary,no,126,no,yes,unknown,6,jun,1,0,0,unknown,0,2.533333333333333,"(48.0, 63.0]",0
44231,32,entrepreneur,married,tertiary,no,762,no,no,cellular,19,jul,11,0,0,unknown,1,3.1166666666666667,"(17.925, 33.0]",0
7563,50,management,married,tertiary,no,11528,yes,no,unknown,30,may,1,0,0,unknown,0,0.95,"(48.0, 63.0]",0
3939,51,technician,married,secondary,no,349,yes,no,unknown,16,may,3,0,0,unknown,0,1.6166666666666667,"(48.0, 63.0]",0
36692,51,blue-collar,married,secondary,no,518,yes,no,cellular,12,may,1,0,0,unknown,1,15.3,"(48.0, 63.0]",0
10881,39,management,married,tertiary,no,2043,yes,no,unknown,17,jun,1,0,0,unknown,0,1.4166666666666667,"(33.0, 48.0]",0
14100,58,retired,married,secondary,no,100,yes,no,cellular,11,jul,2,0,0,unknown,0,3.1,"(48.0, 63.0]",0
3053,42,blue-collar,married,primary,no,1288,yes,no,unknown,14,may,1,0,0,unknown,0,4.916666666666667,"(33.0, 48.0]",0
40654,37,management,divorced,tertiary,no,0,yes,no,cellular,6,aug,5,0,0,unknown,0,1.65,"(33.0, 48.0]",0
29387,35,blue-collar,married,primary,no,0,yes,yes,cellular,2,feb,2,271,2,other,0,11.633333333333333,"(33.0, 48.0]",1
1107,43,blue-collar,married,primary,no,487,yes,no,unknown,7,may,2,0,0,unknown,0,9.133333333333333,"(33.0, 48.0]",0
24004,37,technician,married,secondary,no,449,yes,no,cellular,29,aug,4,0,0,unknown,0,0.9833333333333333,"(33.0, 48.0]",0
13384,57,technician,married,secondary,no,950,yes,no,cellular,9,jul,1,0,0,unknown,0,21.2,"(48.0, 63.0]",0
24638,40,housemaid,married,secondary,no,1029,yes,yes,cellular,17,nov,2,117,3,failure,0,1.95,"(33.0, 48.0]",1
37498,39,blue-collar,married,secondary,no,0,yes,no,cellular,13,may,3,176,2,failure,0,8.55,"(33.0, 48.0]",1
10229,45,services,married,primary,no,116,yes,no,unknown,11,jun,3,0,0,unknown,0,4.783333333333333,"(33.0, 48.0]",0
45077,20,student,single,secondary,no,88,no,no,telephone,21,oct,1,181,4,other,0,10.35,"(17.925, 33.0]",1
15594,25,blue-collar,married,secondary,no,895,no,no,cellular,21,jul,3,0,0,unknown,0,5.283333333333333,"(17.925, 33.0]",0
26389,35,blue-collar,married,secondary,no,5304,yes,no,cellular,20,nov,1,183,2,failure,0,5.666666666666667,"(33.0, 48.0]",1
42849,44,technician,married,tertiary,no,1818,yes,yes,cellular,3,feb,1,92,4,failure,1,8.466666666666667,"(33.0, 48.0]",1
41317,43,technician,divorced,secondary,no,1612,no,no,cellular,28,aug,2,95,3,success,0,1.9833333333333334,"(33.0, 48.0]",1
11128,36,blue-collar,married,primary,no,1707,no,no,unknown,18,jun,2,0,0,unknown,0,3.1666666666666665,"(33.0, 48.0]",0
33589,32,management,single,tertiary,no,0,yes,no,cellular,20,apr,2,0,0,unknown,0,6.916666666666667,"(17.925, 33.0]",0
14189,46,services,married,primary,no,830,yes,yes,cellular,11,jul,2,0,0,unknown,0,3.5166666666666666,"(33.0, 48.0]",0
26730,43,blue-collar,married,secondary,no,3311,yes,no,telephone,20,nov,2,184,3,other,0,1.75,"(33.0, 48.0]",1
24573,52,technician,married,secondary,no,1818,no,yes,cellular,17,nov,2,111,4,failure,0,3.15,"(48.0, 63.0]",1
2730,44,blue-collar,single,secondary,no,633,yes,no,unknown,13,may,1,0,0,unknown,0,17.2,"(33.0, 48.0]",0
11642,41,admin.,married,secondary,no,4178,no,no,unknown,20,jun,2,0,0,unknown,0,2.8,"(33.0, 48.0]",0
354,59,unknown,divorced,unknown,no,27,no,no,unknown,5,may,3,0,0,unknown,0,5.783333333333333,"(48.0, 63.0]",0
30221,26,blue-collar,single,tertiary,no,1527,no,no,cellular,5,feb,1,0,0,unknown,0,2.783333333333333,"(17.925, 33.0]",0
21680,34,management,single,tertiary,no,-292,yes,no,cellular,19,aug,6,0,0,unknown,0,3.0166666666666666,"(33.0, 48.0]",0
37369,57,blue-collar,married,primary,no,649,yes,no,cellular,13,may,2,0,0,unknown,0,2.816666666666667,"(48.0, 63.0]",0
6753,52,blue-collar,married,secondary,no,310,yes,no,unknown,28,may,4,0,0,unknown,0,3.5166666666666666,"(48.0, 63.0]",0
41233,27,management,single,tertiary,no,377,no,no,cellular,21,aug,3,91,1,failure,0,2.85,"(17.925, 33.0]",1
17510,32,blue-collar,single,primary,no,882,no,yes,cellular,29,jul,8,0,0,unknown,0,1.3333333333333333,"(17.925, 33.0]",0
34022,33,management,single,tertiary,no,1431,no,no,cellular,30,apr,1,85,2,failure,0,1.5666666666666667,"(17.925, 33.0]",1
30695,55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,2,0,0,unknown,0,3.55,"(48.0, 63.0]",0
36036,60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,1,350,1,failure,0,7.383333333333334,"(48.0, 63.0]",1
25690,41,blue-collar,married,primary,no,1491,yes,no,cellular,19,nov,2,0,0,unknown,0,2.4166666666666665,"(33.0, 48.0]",0
30165,33,management,married,secondary,no,165,yes,no,telephone,5,feb,3,258,15,other,0,2.1,"(17.925, 33.0]",1
19687,33,management,married,tertiary,no,5,yes,no,unknown,7,aug,1,0,0,unknown,0,0.2,"(17.925, 33.0]",0
2791,55,blue-collar,divorced,secondary,no,7378,no,no,unknown,14,may,3,0,0,unknown,0,5.266666666666667,"(48.0, 63.0]",0
33780,76,management,married,unknown,no,1780,yes,no,telephone,23,apr,3,0,0,unknown,1,6.883333333333334,"(63.0, 78.0]",0
43187,37,management,single,tertiary,no,1027,yes,no,cellular,2,mar,1,152,2,success,1,5.216666666666667,"(33.0, 48.0]",1
38851,43,blue-collar,married,primary,no,714,yes,no,cellular,18,may,6,362,28,failure,0,0.26666666666666666,"(33.0, 48.0]",1
22929,52,blue-collar,married,primary,no,1401,no,no,cellular,26,aug,8,0,0,unknown,0,1.2833333333333334,"(48.0, 63.0]",0
14741,44,management,married,tertiary,no,764,no,yes,cellular,15,jul,5,0,0,unknown,0,1.6166666666666667,"(33.0, 48.0]",0
23899,47,management,divorced,tertiary,no,310,no,no,cellular,29,aug,2,0,0,unknown,0,2.2666666666666666,"(33.0, 48.0]",0
5266,33,blue-collar,married,primary,no,463,yes,no,unknown,23,may,1,0,0,unknown,0,3.8333333333333335,"(17.925, 33.0]",0
3426,54,blue-collar,divorced,primary,no,190,yes,no,unknown,15,may,2,0,0,unknown,0,3.2666666666666666,"(48.0, 63.0]",0
43417,50,blue-collar,married,primary,no,82,no,no,telephone,5,apr,1,0,0,unknown,1,7.6,"(48.0, 63.0]",0
23796,41,technician,single,tertiary,no,1026,no,no,cellular,29,aug,6,0,0,unknown,0,0.9833333333333333,"(33.0, 48.0]",0
12737,42,blue-collar,divorced,unknown,no,0,no,no,cellular,7,jul,2,0,0,unknown,0,1.0666666666666667,"(33.0, 48.0]",0
44228,42,management,married,unknown,no,1519,no,no,cellular,19,jul,1,0,0,unknown,1,4.466666666666667,"(33.0, 48.0]",0
22653,50,management,married,tertiary,no,135,no,no,cellular,25,aug,4,0,0,unknown,0,2.7,"(48.0, 63.0]",0
6245,51,management,married,tertiary,no,0,no,no,unknown,27,may,5,0,0,unknown,0,1.1333333333333333,"(48.0, 63.0]",0
4569,48,management,divorced,primary,no,432,yes,no,unknown,20,may,2,0,0,unknown,0,2.533333333333333,"(33.0, 48.0]",0
24348,51,services,divorced,secondary,no,518,yes,no,telephone,17,nov,1,0,0,unknown,0,1.2666666666666666,"(48.0, 63.0]",0
12642,30,admin.,single,tertiary,no,218,no,no,unknown,4,jul,2,0,0,unknown,0,2.283333333333333,"(17.925, 33.0]",0
19367,48,blue-collar,married,secondary,no,2054,yes,no,cellular,6,aug,2,0,0,unknown,0,2.1166666666666667,"(33.0, 48.0]",0
21001,35,management,single,secondary,no,1189,no,yes,cellular,14,aug,2,0,0,unknown,0,1.5333333333333334,"(33.0, 48.0]",0
33833,54,admin.,married,secondary,no,276,yes,yes,cellular,27,apr,1,0,0,unknown,0,1.1,"(48.0, 63.0]",0
25910,48,management,married,secondary,no,0,no,no,cellular,19,nov,4,0,0,unknown,0,0.3333333333333333,"(33.0, 48.0]",0
14704,36,services,married,secondary,no,297,yes,yes,cellular,15,jul,5,0,0,unknown,0,2.6166666666666667,"(33.0, 48.0]",0
890,29,student,single,secondary,no,872,yes,no,unknown,7,may,1,0,0,unknown,0,3.8333333333333335,"(17.925, 33.0]",0
40596,46,admin.,divorced,secondary,no,2196,no,no,cellular,28,jul,5,0,0,unknown,1,9.55,"(33.0, 48.0]",0
32973,33,services,married,secondary,no,90,yes,no,cellular,17,apr,2,263,2,failure,0,2.8333333333333335,"(17.925, 33.0]",1
32912,29,admin.,single,secondary,no,3432,yes,no,cellular,17,apr,2,0,0,unknown,0,2.316666666666667,"(17.925, 33.0]",0
20537,33,management,married,tertiary,no,1399,no,no,cellular,12,aug,4,0,0,unknown,0,7.266666666666667,"(17.925, 33.0]",0
20279,31,management,single,tertiary,no,498,no,no,cellular,11,aug,2,0,0,unknown,0,3.033333333333333,"(17.925, 33.0]",0
12241,44,blue-collar,married,primary,no,2657,yes,no,unknown,20,jun,2,0,0,unknown,0,3.3666666666666667,"(33.0, 48.0]",0
44605,23,management,single,tertiary,no,377,no,no,unknown,28,aug,1,0,0,unknown,0,0.11666666666666667,"(17.925, 33.0]",0
36778,44,admin.,married,secondary,no,1380,yes,no,cellular,12,may,1,0,0,unknown,0,4.0,"(33.0, 48.0]",0
14976,38,admin.,married,secondary,no,0,yes,no,telephone,16,jul,8,0,0,unknown,0,4.733333333333333,"(33.0, 48.0]",0
1175,39,blue-collar,married,secondary,no,125,yes,no,unknown,8,may,1,0,0,unknown,0,2.3666666666666667,"(33.0, 48.0]",0
25626,55,services,divorced,tertiary,no,1983,yes,no,telephone,19,nov,1,0,0,unknown,0,2.05,"(48.0, 63.0]",0
30339,26,unemployed,married,primary,no,440,no,no,cellular,5,feb,1,0,0,unknown,0,2.3833333333333333,"(17.925, 33.0]",0
501,32,technician,single,unknown,no,-170,no,no,unknown,6,may,1,0,0,unknown,0,0.7666666666666667,"(17.925, 33.0]",0
25219,40,technician,single,secondary,no,2141,no,no,cellular,18,nov,3,0,0,unknown,0,1.7833333333333334,"(33.0, 48.0]",0
5907,24,technician,single,secondary,no,-256,yes,no,unknown,26,may,2,0,0,unknown,0,1.8333333333333333,"(17.925, 33.0]",0
23347,55,retired,married,secondary,no,120,no,no,cellular,27,aug,3,0,0,unknown,0,0.7166666666666667,"(48.0, 63.0]",0
32315,48,services,married,secondary,no,543,yes,no,cellular,16,apr,1,336,1,failure,0,2.533333333333333,"(33.0, 48.0]",1
6132,39,technician,married,secondary,no,214,yes,no,unknown,27,may,11,0,0,unknown,0,6.433333333333334,"(33.0, 48.0]",0
34476,42,admin.,single,secondary,no,151,yes,no,telephone,5,may,3,0,0,unknown,0,3.783333333333333,"(33.0, 48.0]",0
2269,32,admin.,single,secondary,no,1466,yes,no,unknown,12,may,2,0,0,unknown,0,4.4,"(17.925, 33.0]",0
40421,42,entrepreneur,married,secondary,no,2959,yes,no,telephone,2,jul,1,342,1,failure,1,11.85,"(33.0, 48.0]",1
25585,41,admin.,married,secondary,no,80,no,no,cellular,19,nov,1,0,0,unknown,0,3.3666666666666667,"(33.0, 48.0]",0
8877,28,management,single,tertiary,no,-227,yes,no,unknown,4,jun,2,0,0,unknown,0,4.966666666666667,"(17.925, 33.0]",0
9391,38,blue-collar,married,primary,no,8251,no,no,unknown,6,jun,3,0,0,unknown,0,3.2333333333333334,"(33.0, 48.0]",0
15258,35,housemaid,married,tertiary,no,20,yes,yes,cellular,17,jul,3,0,0,unknown,0,8.416666666666666,"(33.0, 48.0]",0
31303,28,management,single,secondary,no,171,no,no,cellular,10,mar,1,0,0,unknown,1,1.55,"(17.925, 33.0]",0
7064,34,technician,single,secondary,no,1386,yes,yes,unknown,28,may,6,0,0,unknown,0,3.0833333333333335,"(33.0, 48.0]",0
28028,30,blue-collar,married,secondary,no,6,yes,no,cellular,28,jan,3,0,0,unknown,0,4.016666666666667,"(17.925, 33.0]",0
19509,39,management,married,tertiary,no,1572,no,no,cellular,7,aug,4,0,0,unknown,0,24.366666666666667,"(33.0, 48.0]",0
22186,39,technician,married,secondary,no,564,no,no,cellular,21,aug,4,0,0,unknown,0,1.4333333333333333,"(33.0, 48.0]",0
21197,32,management,single,secondary,no,1473,no,no,cellular,14,aug,7,0,0,unknown,0,4.216666666666667,"(17.925, 33.0]",0
38329,29,blue-collar,single,primary,no,-24,yes,no,cellular,15,may,1,0,0,unknown,0,5.416666666666667,"(17.925, 33.0]",0
12928,31,management,married,tertiary,no,-513,no,yes,cellular,7,jul,1,0,0,unknown,0,2.066666666666667,"(17.925, 33.0]",0
37722,28,admin.,single,secondary,no,3,no,no,cellular,14,may,2,0,0,unknown,0,2.3,"(17.925, 33.0]",0
4384,31,management,single,secondary,no,0,yes,no,unknown,20,may,1,0,0,unknown,0,2.5,"(17.925, 33.0]",0
